"MATNO","SESSION","GST111","GST112","CHM111","CHM113","MTH110","MTH112","PHY111","PHY113","GST121","GST122","GST123","CHM122","CHM124","MTH123","MTH125","PHY109","PHY124","FEES","PROBATION","OTHERS"
"ENG0902537",2010,"0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","1","0",0,1,"Temporary Withdrawal"
"ENG0902539",2010,"0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0",0,1,"0"
"ENG0902544",2010,"0","0","0","0","0","1","0","0","0","1","0","1","1","0","0","0","0",0,1,"0"
"ENG0902546",2010,"0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0",0,1,"0"
"ENG0902547",2010,"0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","1",0,1,"0"
"ENG0902552",2010,"0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0",0,1,"0"
"ENG0902559",2010,"0","0","0","0","0","1","0","0","0","1","0","0","1","1","0","0","0",0,1,"0"
"ENG0902564",2010,"0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0",0,1,"0"
"ENG0902576",2010,"0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0",0,1,"0"
"ENG0902579",2010,"0","0","0","0","0","0","0","1","0","0","0","1","1","1","0","0","0",0,1,"0"
"ENG0902589",2010,"1","0","0","0","1","1","0","1","0","1","0","0","0","0","1","1","0",0,1,"0"
"ENG0902590",2010,"0","0","1","1","0","0","1","0","0","0","0","1","1","0","0","0","0",0,1,"0"
"ENG0902591",2010,"0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0",0,1,"0"
"ENG0902593",2010,"0","0","0","1","1","1","0","0","0","0","0","1","0","0","0","0","0",0,1,"0"
"ENG0902596",2010,"0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0",0,1,"0"
"ENG0902597",2010,"0","0","0","1","0","0","1","0","0","0","0","1","1","0","0","0","1",0,1,"0"
"ENG0902621",2010,"0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0",0,1,"0"
"ENG0902622",2010,"0","1","0","1","0","1","1","0","0","0","0","0","1","0","1","0","0",0,1,"0"
"ENG0903596",2010,"1","0","1","0","0","0","1","0","1","1","1","0","0","1","0","0","1",0,1,"0"
"ENG0905919",2010,"0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","1","0",0,1,"0"
"ENG0905920",2010,"0","0","0","0","0","1","0","1","0","0","0","0","1","0","1","0","0",0,1,"0"
"ENG1102471",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"Medical Case"
