"MATNO","SESSION","A","B","C","D","E","F","G","H","I","J","EMA481","MEE411","MEE421","MEE431","MEE441","MEE451","MEE461","MEE471","ELA401","CED300","UBT400","FEES","PROBATION","OTHERS"
"ENG0902609",2012,"ECP281","MEE321",,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902610",2012,"EMA281","MEE321",,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902611",2012,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902612",2012,"EMA281","PRE311",,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902613",2012,"ECP281","EEE317",,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902614",2012,"PRE311",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902615",2012,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902616",2012,"ECP281","CVE311","MEE361","PRE311",,,,,,,1,1,1,1,1,1,0,1,1,1,,1,0,"0"
"ENG0902617",2012,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902618",2012,"EEE317","MEE321",,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902619",2012,"ECP281","EMA381","MEE311",,,,,,,,1,1,1,0,1,1,1,1,1,1,,1,0,"0"
"ENG0902620",2012,"ECP281","MEE361",,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902623",2012,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902624",2012,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902626",2012,"EEE317","MEE321",,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902627",2012,"ECP281","EMA281","MEE321",,,,,,,,1,1,1,1,1,1,1,1,1,0,,1,0,"0"
"ENG0902630",2012,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902750",2012,"PRE311",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0905700",2012,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG1002545",2012,"ECP281","PRE311",,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG1002560",2012,"MEE311","MEE321","MEE351",,,,,,,,1,1,1,1,1,1,1,0,1,1,,1,0,"0"
"ENG1002576",2012,"EMA281","EEE317","EMA381","MEE321",,,,,,,1,0,1,1,1,1,1,1,0,1,,1,0,"0"
"ENG1002580",2012,"ECP281","PRE311",,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG1002595",2012,"MEE321","MEE351","PRE311",,,,,,,,1,1,1,0,1,1,1,1,1,1,,1,0,"0"
"ENG1002596",2012,"PRE311",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG1002601",2012,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0704482",2011,"PRE311",,,,,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0704517",2011,"EEE317","MEE351","ELA301",,,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0303496",2011,"ENS211","CVE311","EEE317","MEE361","PRE311",,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0702304",2011,"EEE317","MEE311","MEE351",,,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0702330",2011,"PRE311",,,,,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0801887",2011,"MEE321","PRE311",,,,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0801888",2011,"MEE321",,,,,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0801889",2011,"EMA381","PRE311",,,,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0801890",2011,"ECP281",,,,,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0801891",2011,"CVE311",,,,,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0801892",2011,,,,,,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0801893",2011,"EEE317","MEE321","MEE351",,,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0801894",2011,,,,,,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0801896",2011,"ECP281","PRE311",,,,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0801897",2011,,,,,,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0801898",2011,"ECP281","EMA381","MEE351","PRE311",,,,,,,,,,,,,,1,0,1,,1,0,"0"
"ENG0801902",2011,,,,,,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0801903",2011,"EEE317",,,,,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0801905",2011,"CVE311",,,,,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0801906",2011,"EEE317","MEE321","MEE351","MEE361","PRE311",,,,,,,,,,,,,0,1,1,,1,0,"0"
"ENG1002610",2013,"PRE311","EMA381","MEE311","MEE361",,,,,,,1,1,1,0,0,1,1,1,1,1,,1,0,"0"
"ENG1002607",2013,"PRE311",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0905919",2013,"EEE317","EMA381","MEE351","MEE321","PRE211",,,,,,1,0,1,0,1,1,1,0,1,1,,1,0,"0"
"ENG1002526",2013,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG1002567",2013,"ECP281","CVE311","PRE311","MEE311","MEE351","MEE361",,,,,1,1,1,0,0,0,1,0,1,1,,1,0,"0"
"ENG1002528",2013,"EMA281","EEE317","MEE311","MEE351","PRE311","MEE321",,,,,1,0,1,0,0,1,1,0,1,1,,1,0,"0"
"ENG0902590",2013,"EEE317","EMA381","MEE351","PRE311",,,,,,,1,1,1,1,1,0,1,0,1,1,,1,0,"0"
"ENG1002516",2013,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG1102483",2013,"MEE351",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG1102484",2013,"ENS211",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG1102520",2013,"ENS211",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902597",2013,"ENS211","PRE311","EEE317","EMA381",,,,,,,1,1,1,1,0,1,1,0,1,1,,1,0,"0"
"ENG1002539",2013,"EEE317","MEE351",,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG1002527",2013,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902591",2013,"EEE317","PRE311","MEE361","EMA381",,,,,,,1,1,1,1,1,0,1,1,1,0,,1,0,"0"
"ENG0902564",2013,"EEE317","EMA381","MEE311","PRE311","MEE351",,,,,,0,1,1,1,1,1,0,1,1,0,,1,0,"0"
"ENG1102481",2013,"MEE211","CVE311","EEE317","EMA381","PRE311",,,,,,0,0,1,1,1,1,1,1,1,0,,1,0,"0"
"ENG1002551",2013,"MEE311","MEE321",,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG1002570",2013,"MEE311","MEE321","EEE317","PRE311","MEE221",,,,,,1,0,0,1,0,1,1,1,1,1,,1,0,"0"
