COURSE_CODE,SESSION,MATNO,SCORE
MTH110,2017,ENG1707865,65
MTH112,2017,ENG1707865,68
MTH123,2017,ENG1707865,68
MTH125,2017,ENG1707865,60
CHM111,2017,ENG1707865,70
GST122,2010,ENG1002540,34
GST123,2010,ENG1002540,30
CVE211,2010,ENG1002540,40
EEE211,2010,ENG1002540,15
EMA281,2010,ENG1002540,8
ENS211,2010,ENG1002540,38
MEE211,2010,ENG1002540,25
MEE221,2010,ENG1002540,32
PRE211,2010,ENG1002540,32
CHE222,2010,ENG1002540,27
EEE212,2010,ENG1002540,1
EMA282,2010,ENG1002540,70
MEE212,2010,ENG1002540,38
MEE222,2010,ENG1002540,60
PRE212,2010,ENG1002540,17
MTH110,2016,ENG1607771,88
MTH112,2016,ENG1607771,75
PHY113,2016,ENG1607771,73
CHM111,2016,ENG1607771,85
GST111,2016,ENG1607771,58
GST112,2016,ENG1607771,78
PHY111,2016,ENG1607771,80
MTH123,2016,ENG1607771,76
MTH125,2016,ENG1607771,68
CHM122,2016,ENG1607771,82
PHY109,2016,ENG1607771,50
PHY124,2016,ENG1607771,90
GST121,2016,ENG1607771,80
GST122,2016,ENG1607771,78
GST123,2016,ENG1607771,82
CHM124,2016,ENG1607771,72
PHY109,2014,ENG1102498,55
EMA382,2016,ENG1102498,40
UBT400,2018,ENG1106032,77
UBT400,2018,ENG1305471,74
UBT400,2018,ENG1306697,83
UBT400,2018,ENG1403742,66
UBT400,2018,ENG1403751,71
